Date,O3 (ppb)
2017/06/14,8.6
2017/06/13,15.4
2017/06/12,16.5
2017/06/09,21.7
2017/06/05,21.2
2017/06/04,23
2017/06/03,24.2
2017/06/02,18.9
2017/06/01,11.9
2017/05/31,20.8
2017/05/30,27.5
2017/05/29,41.5
2017/05/28,40.5
2017/05/27,29.1
2017/05/26,34.6
2017/05/25,30.7
2017/05/24,19.7
2017/05/23,28.8
2017/05/22,34.7
2017/05/21,34
2017/05/20,31.6
2017/05/19,26.1
2017/05/18,37.9
2017/05/17,41.1
2017/05/16,22.7
2017/05/15,34.7
2017/05/14,36.1
2017/05/13,17.6
2017/05/12,23
2017/05/11,31.5
2017/05/10,36.4
2017/05/09,22.8
2017/05/08,36.1
2017/05/06,32.9
2017/05/05,27.9
2017/05/04,26.9
2017/05/03,30.3
2017/05/02,15.5
2017/05/01,35.9
2017/04/30,44.4
2017/04/29,45.8
2017/04/28,49.8
2017/04/27,25
2017/04/26,20.4
2017/04/25,4.8
2017/04/24,40.3
2017/04/23,29.2
2017/04/22,31.3
2017/04/21,21.9
2017/04/20,20.1
2017/04/19,10.8
2017/04/18,19.8
2017/04/17,14.5
2017/04/16,20.3
2017/04/15,27.2
2017/04/14,0
2017/04/13,0
2017/04/12,22.8
2017/04/11,8.9
2017/04/10,16
2017/04/09,22.1
2017/04/08,27.9
2017/04/07,27.2
2017/04/06,34.6
2017/04/05,39.3
2017/04/04,46.7
2017/04/03,44.9
2017/04/02,42
2017/04/01,56.3
2017/03/31,33
2017/03/30,30.6
2017/03/29,39.3
2017/03/28,38.3
2017/03/27,28.9
2017/03/26,25.4
2017/03/25,34.2
2017/03/24,26
2017/03/23,35.2
2017/03/22,41.6
2017/03/21,26.8
2017/03/20,25.1
2017/03/19,14.4
2017/03/18,16.7
2017/03/17,20.1
2017/03/16,11.6
2017/03/15,28
2017/03/14,32.9
2017/03/13,37.3
2017/03/12,40.3
2017/03/11,39.9
2017/03/10,28.4
2017/03/09,12
2017/03/08,14.3
2017/03/07,24.6
2017/03/06,32.4
2017/03/05,40.7
2017/03/04,27.6
2017/03/03,25.5
