序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺中市,2017/06/14,大里,1.9,0.26,409.67,8.6,-,16,7.0,15.46,4.38,11.08,-,1.836,0.32,1.52,1.41,1.02,26.53,-,80.06,-
2,臺中市,2017/06/13,大里,1.7,0.24,416.44,15.4,-,34,8.0,13.59,4.4,9.2,-,1.642,0.14,1.5,2.52,2.14,29.94,-,69.28,-
3,臺中市,2017/06/12,大里,2.3,0.33,425.62,16.5,-,29,7.0,16.05,3.67,12.38,-,1.703,0.2,1.5,1.94,1.33,29.17,-,73.1,-
4,臺中市,2017/06/09,大里,2.6,0.31,434.58,21.7,-,36,15.0,16.2,2.73,13.48,-,-,-,-,1.95,1.7,30.5,-,67.35,-
5,臺中市,2017/06/05,大里,2.3,0.5,431.59,21.2,-,36,15.0,22.31,5.04,17.27,-,2.003,0.28,1.72,1.2,1.0,28.22,-,76.39,-
6,臺中市,2017/06/04,大里,1.7,0.28,408.21,23.0,-,10,7.0,12.29,3.33,8.96,-,1.694,0.09,1.61,1.28,0.88,26.74,-,79.57,-
7,臺中市,2017/06/03,大里,1.9,0.31,412.22,24.2,-,18,7.0,13.76,3.39,10.36,-,1.791,0.17,1.62,2.11,1.56,25.92,-,81.91,-
8,臺中市,2017/06/02,大里,1.9,0.16,400.77,18.9,-,27,8.0,8.53,2.48,6.04,-,1.541,0.05,1.49,4.32,4.25,27.6,-,80.09,-
9,臺中市,2017/06/01,大里,2.4,0.31,412.7,11.9,-,27,11.0,16.63,4.58,12.06,-,1.729,0.22,1.51,2.25,2.12,27.94,-,76.82,-
10,臺中市,2017/05/31,大里,1.4,0.33,420.89,20.8,-,25,8.0,15.93,3.47,12.46,-,1.704,0.16,1.55,1.94,1.7,28.59,-,73.8,-
11,臺中市,2017/05/30,大里,1.8,0.32,420.2,27.5,-,35,13.0,11.44,0.98,10.48,-,1.661,0.09,1.57,1.88,1.42,26.92,-,78.01,-
12,臺中市,2017/05/29,大里,3.7,0.52,436.14,41.5,-,60,23.0,23.19,3.98,19.21,-,1.891,0.18,1.71,1.96,1.6,29.21,-,69.38,-
13,臺中市,2017/05/28,大里,3.5,0.57,439.58,40.5,-,55,26.0,23.47,3.32,20.15,-,1.939,0.21,1.73,1.59,1.28,27.93,-,70.81,-
14,臺中市,2017/05/27,大里,3.3,0.64,442.91,29.1,-,60,24.0,30.87,5.61,25.26,-,2.14,0.37,1.77,1.36,1.04,26.81,-,73.4,-
15,臺中市,2017/05/26,大里,3.1,0.59,423.58,34.6,-,40,17.0,29.8,4.1,25.7,-,1.947,0.29,1.66,1.58,1.08,27.07,-,64.07,-
16,臺中市,2017/05/25,大里,2.8,0.47,421.53,30.7,-,31,15.0,21.55,4.18,17.38,-,1.807,0.18,1.63,1.93,0.86,27.03,-,71.9,-
17,臺中市,2017/05/24,大里,2.3,0.3,413.97,19.7,-,35,13.0,14.52,3.3,11.22,-,1.675,0.13,1.55,2.4,2.1,29.0,-,74.04,-
18,臺中市,2017/05/23,大里,2.8,0.31,422.93,28.8,-,49,19.0,14.65,2.11,12.54,-,1.758,0.15,1.61,2.08,1.89,29.3,-,70.09,-
19,臺中市,2017/05/22,大里,3.0,0.43,431.38,34.7,-,46,20.0,19.64,2.19,17.47,-,1.869,0.19,1.68,1.91,1.66,28.98,-,70.2,-
20,臺中市,2017/05/21,大里,2.0,0.44,429.46,34.0,-,40,14.0,17.38,2.03,15.44,-,1.835,0.15,1.69,1.73,1.02,28.0,-,70.38,-
21,臺中市,2017/05/20,大里,1.5,0.4,417.44,31.6,-,24,12.0,17.16,2.08,15.08,-,1.754,0.13,1.62,1.5,0.88,25.41,-,76.29,-
22,臺中市,2017/05/19,大里,2.0,0.55,436.68,26.1,-,52,18.0,25.51,3.0,22.51,-,1.991,0.3,1.69,1.61,0.95,26.55,-,73.97,-
23,臺中市,2017/05/18,大里,3.1,0.54,422.06,37.9,-,61,22.0,28.85,4.41,24.45,-,2.098,0.32,1.78,1.55,1.03,27.94,-,68.68,-
24,臺中市,2017/05/17,大里,2.4,0.45,403.87,41.1,-,33,12.0,20.42,1.33,19.07,-,1.829,0.2,1.63,1.64,0.85,26.02,-,69.14,-
25,臺中市,2017/05/16,大里,2.0,0.39,409.24,22.7,-,21,6.0,23.75,4.12,19.62,-,1.816,0.21,1.61,1.72,1.12,23.99,-,80.91,-
26,臺中市,2017/05/15,大里,3.7,0.37,415.86,34.7,-,39,16.0,18.81,2.87,15.94,-,1.698,0.11,1.58,2.01,1.31,28.55,-,69.21,-
27,臺中市,2017/05/14,大里,3.1,0.36,413.64,36.1,-,28,12.0,18.15,2.45,15.7,-,1.792,0.15,1.64,1.63,1.12,29.2,-,63.0,-
28,臺中市,2017/05/13,大里,2.1,0.34,403.39,17.6,-,37,15.0,16.42,3.46,12.96,-,1.716,0.15,1.57,1.6,1.46,28.65,-,70.16,-
29,臺中市,2017/05/12,大里,3.2,0.42,415.92,23.0,-,48,19.0,19.32,3.62,15.7,-,1.784,0.18,1.6,1.83,1.63,29.49,-,67.66,-
30,臺中市,2017/05/11,大里,4.4,0.57,426.86,31.5,-,62,20.0,23.95,3.35,20.59,-,1.914,0.27,1.64,1.76,1.27,29.56,-,65.07,-
31,臺中市,2017/05/10,大里,3.3,0.48,417.15,36.4,-,48,15.0,21.34,1.97,19.36,-,1.833,0.22,1.61,1.77,1.42,28.92,-,67.74,-
32,臺中市,2017/05/09,大里,2.7,0.34,402.58,22.8,-,44,12.0,16.04,2.83,13.21,-,1.712,0.18,1.54,2.15,1.91,28.78,-,69.01,-
33,臺中市,2017/05/08,大里,3.2,0.42,415.56,36.1,-,91,24.0,17.65,2.11,15.53,-,1.784,0.17,1.61,2.05,1.82,28.72,-,68.98,-
34,臺中市,2017/05/06,大里,2.8,0.48,417.57,32.9,-,50,19.0,19.13,2.18,16.96,-,1.849,0.17,1.68,1.75,1.05,28.08,-,68.31,-
35,臺中市,2017/05/05,大里,3.1,0.44,418.63,27.9,-,54,20.0,20.4,4.49,15.91,-,1.864,0.22,1.64,1.69,1.28,28.56,-,68.44,-
36,臺中市,2017/05/04,大里,2.6,0.42,417.13,26.9,-,55,19.0,17.61,2.97,14.65,-,1.822,0.18,1.64,1.81,1.66,28.39,-,68.85,-
37,臺中市,2017/05/03,大里,3.3,0.6,436.98,30.3,-,67,21.0,24.46,2.96,21.49,-,2.135,0.31,1.83,1.58,1.12,27.98,-,68.98,-
