Date,SO2 (ppb),O3 (ppb),PM 2.5  (μg/m 3 ),NO2 (ppb)
2017/06/14,1.9,8.6,7,11.08
2017/06/13,1.7,15.4,8,9.2
2017/06/12,2.3,16.5,7,12.38
2017/06/09,2.6,21.7,15,13.48
2017/06/05,2.3,21.2,15,17.27
2017/06/04,1.7,23,7,8.96
2017/06/03,1.9,24.2,7,10.36
2017/06/02,1.9,18.9,8,6.04
2017/06/01,2.4,11.9,11,12.06
2017/05/31,1.4,20.8,8,12.46
2017/05/30,1.8,27.5,13,10.48
2017/05/29,3.7,41.5,23,19.21
2017/05/28,3.5,40.5,26,20.15
2017/05/27,3.3,29.1,24,25.26
2017/05/26,3.1,34.6,17,25.7
2017/05/25,2.8,30.7,15,17.38
2017/05/24,2.3,19.7,13,11.22
2017/05/23,2.8,28.8,19,12.54
2017/05/22,3,34.7,20,17.47
2017/05/21,2,34,14,15.44
2017/05/20,1.5,31.6,12,15.08
2017/05/19,2,26.1,18,22.51
2017/05/18,3.1,37.9,22,24.45
2017/05/17,2.4,41.1,12,19.07
2017/05/16,2,22.7,6,19.62
2017/05/15,3.7,34.7,16,15.94
2017/05/14,3.1,36.1,12,15.7
2017/05/13,2.1,17.6,15,12.96
2017/05/12,3.2,23,19,15.7
2017/05/11,4.4,31.5,20,20.59
2017/05/10,3.3,36.4,15,19.36
2017/05/09,2.7,22.8,12,13.21
2017/05/08,3.2,36.1,24,15.53
2017/05/06,2.8,32.9,19,16.96
2017/05/05,3.1,27.9,20,15.91
2017/05/04,2.6,26.9,19,14.65
2017/05/03,3.3,30.3,21,21.49
2017/05/02,3.2,15.5,22,27.03
2017/05/01,2.7,35.9,22,21.37
2017/04/30,3.7,44.4,21,23.34
2017/04/29,2.9,45.8,23,21.87
2017/04/28,2.3,49.8,10,18
2017/04/27,1.8,25,6,18.43
2017/04/26,3.3,20.4,0.0,20.96
2017/04/25,3.6,4.8,0.0,30.7
2017/04/24,2.8,40.3,0.0,22.93
2017/04/23,1.8,29.2,0.0,18.7
2017/04/22,1.6,31.3,9,17.74
2017/04/21,2.1,21.9,15,11.48
2017/04/20,3.3,20.1,26,14.63
