Date,NO2 (ppb)
2017/06/14,11.08
2017/06/13,9.2
2017/06/12,12.38
2017/06/09,13.48
2017/06/05,17.27
2017/06/04,8.96
2017/06/03,10.36
2017/06/02,6.04
2017/06/01,12.06
2017/05/31,12.46
2017/05/30,10.48
2017/05/29,19.21
2017/05/28,20.15
2017/05/27,25.26
2017/05/26,25.7
2017/05/25,17.38
2017/05/24,11.22
2017/05/23,12.54
2017/05/22,17.47
2017/05/21,15.44
2017/05/20,15.08
2017/05/19,22.51
2017/05/18,24.45
2017/05/17,19.07
2017/05/16,19.62
2017/05/15,15.94
2017/05/14,15.7
2017/05/13,12.96
2017/05/12,15.7
2017/05/11,20.59
2017/05/10,19.36
2017/05/09,13.21
2017/05/08,15.53
2017/05/06,16.96
2017/05/05,15.91
2017/05/04,14.65
2017/05/03,21.49
2017/05/02,27.03
2017/05/01,21.37
2017/04/30,23.34
2017/04/29,21.87
2017/04/28,18
2017/04/27,18.43
2017/04/26,20.96
2017/04/25,30.7
2017/04/24,22.93
2017/04/23,18.7
2017/04/22,17.74
2017/04/21,11.48
2017/04/20,14.63
2017/04/19,12.52
2017/04/18,13.26
2017/04/17,13.43
2017/04/16,17.05
2017/04/15,21.8
2017/04/14,35.94
2017/04/13,32.17
2017/04/12,21.49
2017/04/11,19.05
2017/04/10,9.69
2017/04/09,12.44
2017/04/08,13.74
2017/04/07,23.89
2017/04/06,24.66
2017/04/05,19.39
2017/04/04,15.36
2017/04/03,21.43
2017/04/02,19.65
2017/04/01,15.46
2017/03/31,16.47
2017/03/30,28.14
2017/03/29,20.01
2017/03/28,24.53
2017/03/27,27.29
2017/03/26,20.17
2017/03/25,16.88
2017/03/24,26.99
2017/03/23,20.9
2017/03/22,18.97
2017/03/21,20.47
2017/03/20,21.65
2017/03/19,23.36
2017/03/18,27.44
2017/03/17,26.62
2017/03/16,30.73
2017/03/15,24.36
2017/03/14,16.28
2017/03/13,17.62
2017/03/12,15.69
2017/03/11,18.38
2017/03/10,25.72
2017/03/09,36.29
2017/03/08,31.43
2017/03/07,25.5
2017/03/06,15.91
2017/03/05,16.12
2017/03/04,31.45
2017/03/03,35.97
2017/03/02,23.65
2017/03/01,25.1
2017/02/28,25.9
2017/02/27,20.76
2017/02/26,13.12
2017/02/25,20.45
2017/02/24,20.95
2017/02/23,23.96
2017/02/22,23.92
2017/02/21,22.05
2017/02/20,26.6
2017/02/19,21.88
2017/02/18,24.9
2017/02/17,27.06
2017/02/16,31.49
2017/02/15,27.36
2017/02/14,29.41
2017/02/13,26.33
2017/02/12,18.95
2017/02/11,14.22
2017/02/10,14.96
2017/02/09,11.57
2017/02/08,25.52
2017/02/07,27.44
2017/02/06,18.53
2017/02/05,23.96
2017/02/04,24.4
2017/02/03,20.34
2017/02/02,14.61
2017/02/01,10.97
2017/01/31,14.09
2017/01/30,13.76
2017/01/29,15.12
2017/01/28,16.64
2017/01/27,20.64
2017/01/26,19.15
2017/01/25,0
2017/01/24,25.94
2017/01/23,25.39
2017/01/22,16.85
2017/01/21,17.65
2017/01/20,15.67
2017/01/19,23.12
2017/01/18,22.06
2017/01/17,24.59
2017/01/16,21.66
2017/01/15,16.22
2017/01/14,17.65
2017/01/13,23.15
2017/01/12,23.36
2017/01/11,29.19
2017/01/10,25.38
2017/01/09,21.05
2017/01/08,20.8
2017/01/07,26.9
2017/01/06,23.74
2017/01/05,27.4
2017/01/04,26.35
2017/01/03,25.34
2017/01/02,19.99
2017/01/01,20.95
2016/12/31,25.02
2016/12/30,28.29
2016/12/29,14.11
2016/12/28,20.65
2016/12/27,16.9
2016/12/26,21.77
2016/12/25,24.88
2016/12/24,32.2
2016/12/23,24.04
2016/12/22,19.9
2016/12/21,25.16
2016/12/20,37.83
2016/12/19,29.88
2016/12/18,24.97
2016/12/17,30.52
2016/12/16,17.26
2016/12/15,13.3
2016/12/14,17.39
2016/12/13,28.92
2016/12/12,24.63
2016/12/11,23.45
2016/12/10,25.82
2016/12/09,23.2
2016/12/08,22.37
2016/12/07,0
2016/12/06,17.21
2016/12/05,25.41
2016/12/02,18.61
2016/11/29,31.94
2016/11/27,15.75
2016/11/26,16.35
2016/11/25,24.52
2016/11/24,17.99
2016/11/23,20.46
2016/11/22,21.57
2016/11/21,19.1
2016/11/20,20.32
2016/11/19,23.74
2016/11/18,28.33
2016/11/17,27.64
2016/11/16,24.87
2016/11/15,26.19
2016/11/14,28.25
2016/11/13,21.53
2016/11/12,26.44
2016/11/11,29.4
2016/11/10,22.02
2016/11/09,15.38
2016/11/08,16.98
2016/11/07,18.59
2016/11/06,19.99
2016/11/05,19.06
2016/11/04,27
2016/11/03,18.31
2016/11/02,10.48
2016/11/01,12.31
2016/10/31,17.63
2016/10/30,13.15
2016/10/29,13.2
2016/10/28,22.07
2016/10/27,22.18
2016/10/26,22.41
2016/10/25,21.51
2016/10/24,21.28
2016/10/23,11.42
2016/10/22,10.39
2016/10/21,19.33
2016/10/19,23.98
2016/10/18,21.33
2016/10/17,17.26
2016/10/16,14.98
2016/10/15,19.68
2016/10/14,19.49
2016/10/13,16.73
2016/10/12,16.32
2016/10/11,14.44
2016/10/10,11.31
2016/10/09,10.98
2016/10/08,11.91
2016/10/07,15.55
2016/10/06,17.2
2016/10/05,21.15
2016/10/04,20
2016/10/03,15.97
2016/10/02,12.73
2016/10/01,11.63
2016/09/30,12.58
2016/09/29,16.4
2016/09/28,10.02
2016/09/27,3.44
2016/09/26,12.56
2016/09/25,16.54
2016/09/24,19.99
2016/09/23,19.26
2016/09/22,18.87
2016/09/21,20.17
2016/09/20,16.59
2016/09/19,16.54
2016/09/18,9.65
2016/09/17,10.85
2016/09/16,8.83
2016/09/15,10.28
2016/09/14,14.08
2016/09/13,12.17
2016/09/12,11.26
2016/09/11,10.82
2016/09/10,11.86
2016/09/09,11.89
2016/09/08,11.93
2016/09/07,9.04
2016/09/06,10.23
2016/09/05,11.7
2016/09/04,12.45
2016/09/03,16.7
2016/09/02,12.87
2016/09/01,12.11
2016/08/31,15.77
2016/08/30,16.09
2016/08/29,16.16
2016/08/28,11.85
2016/08/26,15.52
2016/08/25,14.41
