Month=1, Predicted=33.327320, Expected=34.000000
Month=2, Predicted=33.717344, Expected=34.700000
Month=3, Predicted=33.073148, Expected=28.800000
Month=4, Predicted=29.158992, Expected=19.700000
Month=5, Predicted=23.710763, Expected=30.700000
Month=6, Predicted=31.863028, Expected=34.600000
Month=7, Predicted=32.759850, Expected=29.100000
Month=8, Predicted=28.689361, Expected=40.500000
Month=9, Predicted=35.736859, Expected=41.500000
Month=10, Predicted=34.575187, Expected=27.500000
Month=11, Predicted=30.000192, Expected=20.800000
Month=12, Predicted=24.337747, Expected=11.900000
Month=13, Predicted=17.529703, Expected=18.900000
Month=14, Predicted=22.529676, Expected=24.200000
Month=15, Predicted=25.036082, Expected=23.000000
Month=16, Predicted=22.853705, Expected=21.200000
Month=17, Predicted=20.999710, Expected=21.700000
Month=18, Predicted=20.703224, Expected=16.500000
Month=19, Predicted=17.161872, Expected=15.400000
Month=20, Predicted=16.221771, Expected=8.600000
Test RMSE: 6.049
