Month=1, Predicted=1.944290, Expected=2.000000
Month=2, Predicted=2.215719, Expected=3.000000
Month=3, Predicted=2.489219, Expected=2.800000
Month=4, Predicted=2.525491, Expected=2.300000
Month=5, Predicted=2.398077, Expected=2.800000
Month=6, Predicted=2.599203, Expected=3.100000
Month=7, Predicted=2.743467, Expected=3.300000
Month=8, Predicted=2.850177, Expected=3.500000
Month=9, Predicted=2.953571, Expected=3.700000
Month=10, Predicted=3.056648, Expected=1.800000
Month=11, Predicted=1.975257, Expected=1.400000
Month=12, Predicted=1.874679, Expected=2.400000
Month=13, Predicted=2.262528, Expected=1.900000
Month=14, Predicted=2.128966, Expected=1.900000
Month=15, Predicted=2.211681, Expected=1.700000
Month=16, Predicted=2.183921, Expected=2.300000
Month=17, Predicted=2.468525, Expected=2.600000
Month=18, Predicted=2.620937, Expected=2.300000
Month=19, Predicted=2.564317, Expected=1.700000
Month=20, Predicted=2.296003, Expected=1.900000
Test RMSE: 0.554
